POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_VSM_VB02-VSM,VBCdhv-vs02c
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_VSM_VB07-VSM,VBCdhv-vs07
POD01-TOKYO-TKY01-VB01-MGMT-VB_MGMT_VSM_VB09-VSM,VBCdhv-vs09
POD01-TOKYO-TKY01-VB02-AMP-ESX_AGENT-DSVA-01,VBCdhv-069
POD01-TOKYO-TKY01-VB02-AMP-ESX_AGENT-DSVA-02,VBCdhv-070
POD01-TOKYO-TKY01-VB02-AMP-ESX_AGENT-VADP-01,VBCdap-029
POD01-TOKYO-TKY01-VB02-AMP-ESX_AGENT-VADP-02,VBCdap-030
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-AM,VBCdhv-014
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-N1KV-A,VBCdsv-010
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-N1KV-B,VBCdsv-011
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-SPLF,VBCdhv-033
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-VC-A,VBCdhv-011a
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-VC-B,VBCdhv-011b
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-VCDB-A,VBCdhv-013a
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-VCDB-B,VBCdhv-013b
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-VUM-A,VBCdhv-012a
POD01-TOKYO-TKY01-VB02-AMP-VB_MGMT-VUM-B,VBCdhv-012b
POD01-TOKYO-TKY02-VB07-AMP-DC_MGMT-AD-A,VBGdhv-001
POD01-TOKYO-TKY02-VB07-AMP-DC_MGMT-AD-B,VBGdhv-002
POD01-TOKYO-TKY02-VB07-AMP-DC_MGMT-ESRS-01,VBGdhv-007
POD01-TOKYO-TKY02-VB07-AMP-DC_MGMT-ESRS-02,VBGdhv-008
POD01-TOKYO-TKY02-VB07-AMP-DC_MGMT-ESRS-03,VBGdhv-009
POD01-TOKYO-TKY02-VB07-AMP-DC_MGMT-SSO-A,VBGdhv-006a
POD01-TOKYO-TKY02-VB07-AMP-DC_MGMT-SSO-B,VBGdhv-006b
POD01-TOKYO-TKY02-VB07-AMP-ESX_AGENT-DSVA-01,VBGdhv-011
POD01-TOKYO-TKY02-VB07-AMP-ESX_AGENT-DSVA-02,VBGdhv-012
POD01-TOKYO-TKY02-VB07-AMP-ESX_AGENT-VADP-01,VBGdap-006
POD01-TOKYO-TKY02-VB07-AMP-ESX_AGENT-VADP-02,VBGdap-005
POD01-TOKYO-TKY02-VB07-AMP-VB_MGMT-AM,VBGdhv-010
POD01-TOKYO-TKY02-VB07-AMP-VB_MGMT-SPLF,VB07-Splunk
POD01-TOKYO-TKY02-VB07-AMP-VB_MGMT-VC-A,VBGdhv-003a
POD01-TOKYO-TKY02-VB07-AMP-VB_MGMT-VC-B,VBGdhv-003b
POD01-TOKYO-TKY02-VB07-AMP-VB_MGMT-VCDB-A,VBGdhv-005a
POD01-TOKYO-TKY02-VB07-AMP-VB_MGMT-VCDB-B,VBGdhv-005b
POD01-TOKYO-TKY02-VB07-AMP-VB_MGMT-VUM-A,VBGdhv-004a
POD01-TOKYO-TKY02-VB07-AMP-VB_MGMT-VUM-B,VBGdhv-004b
